index,brand,Model,Price,Rating,processor_brand,processor_tier,num_cores,num_threads,ram_memory,primary_storage_type,primary_storage_capacity,secondary_storage_type,secondary_storage_capacity,gpu_brand,gpu_type,is_touch_screen,display_size,resolution_width,resolution_height,OS,year_of_warranty
202.0,hp,HP Omen 16-wf1026TX Gaming Laptop (14th Gen Core i7/ 16GB/ 1TB SSD/ Win11 Home/ 8GB Graph),176499.0,85.0,intel,core i7,20.0,28.0,16.0,SSD,,No secondary storage,0.0,nvidia,dedicated,False,,,,windows,1
203.0,jio,Jio JioBook NB1112MM BLU 2023 Netbook Laptop (Octa Core/ 4GB/ 64GB eMMC/ JioOS),14701.0,24.0,other,other,8.0,0.0,4.0,HDD,64.0,No secondary storage,0.0,arm,,False,11.6,1366.0,768.0,other,1
204.0,,Asus Zenbook 14X OLED 2023 UX5401ZA-KM541WS Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home),74990.0,65.0,intel,core i5,12.0,16.0,16.0,SSD,512.0,No secondary storage,0.0,intel,integrated,False,14.0,2880.0,1800.0,windows,1
205.0,asus,Asus Vivobook 16X 2023 K3605ZV-MB741WS Laptop (12th Gen Core i7/ 16GB/ 512GB SSD/ Win11 Home/ 8GB Graph),104990.0,76.0,intel,core i7,10.0,16.0,16.0,SSD,512.0,No secondary storage,0.0,nvidia,dedicated,False,16.0,1920.0,1200.0,windows,1
206.0,hp,HP Omen 16-wd0880TX Gaming Laptop (13th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home/ 6GB Graph),94990.0,70.0,intel,core i5,8.0,12.0,16.0,SSD,512.0,No secondary storage,0.0,nvidia,dedicated,False,16.1,2560.0,1440.0,windows,1
207.0,dell,Dell G15-5520 2023 Laptop (12th Gen Core i5/ 16GB/ 1TB SSD/ Win11 Home/ 4GB Graph),77490.0,73.0,intel,core i5,12.0,16.0,16.0,SSD,1024.0,No secondary storage,0.0,nvidia,dedicated,False,15.6,1920.0,1080.0,windows,1
208.0,chuwi,Chuwi CoreBook X Laptop (10th Gen Core i3/ 8GB/ 512GB SSD/ Win11),24990.0,50.0,intel,core i3,2.0,4.0,8.0,SSD,512.0,No secondary storage,0.0,intel,integrated,False,14.0,1920.0,1200.0,windows,1
,msi,MSI Modern 14 C11M-029IN Laptop (11th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home),39990.0,62.0,intel,core i5,4.0,8.0,16.0,SSD,512.0,No secondary storage,0.0,intel,integrated,False,14.0,1920.0,1080.0,windows,1
210.0,hp,HP 15s-ey2001AU Laptop (AMD Ryzen 7 5700U/ 16GB/ 512GB SSD/ Win11 Home),55990.0,63.0,amd,ryzen 7,8.0,16.0,16.0,SSD,512.0,No secondary storage,0.0,amd,integrated,False,15.6,1920.0,1080.0,,1
211.0,infinix,Infinix Zerobook ZL513 2023 Laptop (13th Gen Core i5/ 16GB/ 512GB SSD/ Win 11 Home),48990.0,57.0,intel,core i5,12.0,16.0,16.0,SSD,512.0,No secondary storage,0.0,intel,integrated,False,,1920.0,1080.0,windows,1
212.0,dell,Dell Inspiron 3525 Laptop (AMD Ryzen 5 5500U/ 8GB/ 512GB SSD/ Win11),39240.0,,amd,ryzen 5,6.0,12.0,8.0,SSD,512.0,No secondary storage,0.0,amd,integrated,False,15.6,1920.0,1080.0,windows,1
213.0,asus,Asus Vivobook 16X 2023 K3605ZU-MB741WS Laptop (12th Gen Core i7/ 16GB/ 512GB SSD/ Win11 Home/ 6GB Graph),90060.0,77.0,intel,core i7,10.0,16.0,16.0,,512.0,No secondary storage,0.0,nvidia,dedicated,False,16.0,1920.0,,windows,1
,asus,,85800.0,,intel,core i5,12.0,16.0,16.0,SSD,512.0,No secondary storage,0.0,nvidia,dedicated,False,15.6,1920.0,1080.0,windows,1
215.0,asus,Asus Vivobook 16X 2023 K3605ZF-MBN524WS Laptop (12th Gen Core i5/ 8GB/ 512GB SSD/ Win11 Home/ 4GB Graph),57990.0,70.0,intel,core i5,,12.0,8.0,SSD,512.0,No secondary storage,0.0,nvidia,dedicated,False,16.0,1920.0,1200.0,windows,1
